name,prompt,negative_prompt
tops_jacket_3,"A sporty lime green jacket with black accents, including a hood and drawstring details. This jacket has a modern, urban vibe, with functional zippers and pockets for a casual yet fashionable look. The bright color makes it eye-catching, perfect for streetwear or casual outdoor activities, while the black hood adds contrast and utility.","Avoid muted, neutral colors or overly formal designs. No long or heavy fabrics, and exclude unnecessary embellishments or patterns that would take away from the sporty, functional aesthetic. Stay away from structured or tailored fits. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_jacket_4,"A classic navy blue bomber jacket with a zip-up front and ribbed cuffs. The jacket has a lightweight, sleek design with a slightly relaxed fit, offering both comfort and style. It features subtle details like a small arm pocket and a simple collar, making it versatile for casual or semi-casual wear.","Avoid oversized or cropped versions of the bomber jacket. Do not use bold patterns, bright colors, or flashy logos. Exclude heavy or bulky fabrics, as well as excessive embellishments or overly sporty elements that would detract from the clean, versatile style. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_t-shirt_1,"A clean and simple black t-shirt, featuring a minimalist design with a classic crew neck and short sleeves. The fabric appears smooth and of high quality, ideal for casual wear. The shirt fits well, offering comfort and flexibility, making it a versatile addition to any wardrobe.","A plain black t-shirt that lacks any unique or distinguishing features. The design appears overly basic, with no visible texture or patterns, giving it a generic look. The shape and cut seem uninspired, and there are no visible details to enhance its appeal. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_kebaya_1,"An elegant blazer-like black lace kebaya with intricate details and buttons at the front. This blazer has a tailored fit, creating an elegant silhouette. The lace material adds a delicate and stylish touch, making this garment perfect for formal occasions or chic office wear.","A black lace blazer that appears overly formal and stiff, with limited versatility. The lace details may be too delicate, making it prone to wear and tear. The fit looks restrictive, potentially sacrificing comfort for style. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_shirt_1,"A stylish brown button-up shirt with a casual yet polished look. The shirt has long sleeves, with a structured collar and visible stitching for added texture. The earthy tone makes it a great choice for a variety of occasions, blending comfort with a touch of elegance.","A plain brown button-up shirt with a somewhat dull appearance. The design is overly simple, and the color may lack vibrancy, making it feel uninspired. The shirt doesn't stand out, and the material looks somewhat stiff and heavy. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_shirt_2,"A sleek black formal shirt, perfect for both professional and formal settings. The shirt is long-sleeved with a tailored fit, giving it a sharp and elegant appearance. The material looks smooth and comfortable, and the overall design is classic and timeless.","A basic black formal shirt with no unique features or embellishments. The design appears too standard, with nothing that sets it apart from other formal shirts. The material seems flat, and the shirt lacks personality. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_shirt_3,"A versatile green short-sleeve shirt, combining comfort and style with its laid-back design. The soft fabric and casual fit make it an ideal choice for everyday wear, while the green color adds a refreshing, outdoorsy vibe to the look.","A simple green short-sleeve shirt that appears too casual, lacking any defining features. The design may feel outdated, and the color, while unique, does not stand out enough to make the shirt visually appealing. The material could look somewhat basic and unrefined. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_koko_shirt_1,"A simple yet elegant long-sleeved brown robe, designed with a modest, minimalist style. The garment has a straight cut with no visible patterns or decorations, exuding a calm, traditional look. The fabric appears smooth and comfortable, perfect for everyday wear or casual outings. Its warm brown color gives it a neutral, earthy tone that enhances its simplicity, making it versatile for various occasions. The robe reflects a classic, conservative aesthetic, ideal for those who appreciate understated fashion.","A plain, dull brown robe with no distinctive design or appeal, hanging on a basic wooden hanger. The garment lacks texture, embellishment, or any eye-catching elements, resulting in a bland and uninspiring look. Its shapeless cut and monotonous color give it a somewhat outdated and uninspired feel, not suited for modern or stylish occasions. The material looks stiff and unremarkable, contributing to the overall lack of sophistication or uniqueness. This robe may be too simple for those seeking more fashionable or vibrant clothing choices. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_vest_1,"A light beige buttoned vest with a classic, timeless design. The sleeveless cut is tailored for a comfortable fit, featuring four dark buttons that contrast nicely with the soft beige fabric. The vest's neutral tone makes it a versatile piece, suitable for layering over shirts for a refined, polished look. The clean and minimalist style of the vest enhances its charm, making it perfect for both casual and formal settings.","A plain and somewhat bland beige vest with a basic button-up design. The fabric lacks texture or any eye-catching elements, making it feel a bit too simple and uninspired. The vest seems too ordinary, not adding much to any outfit. Its light color may also make it prone to looking dull or washed out, lacking in contrast or boldness. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_vest_2,"A stylish sleeveless knit vest with a classic argyle pattern in beige and white. The subtle diamond shapes and soft fabric give it a cozy yet sophisticated look. The V-neck design allows for easy layering over shirts, adding a touch of elegance to casual outfits. The neutral beige and white color combination provides a warm and inviting feel, making this vest a chic choice for cooler weather.","A dated sleeveless knit vest with an overused argyle pattern that feels overly traditional and lacks modern appeal. The beige and white colors are somewhat dull and may not stand out in a more stylish or trendy wardrobe. The vest’s design feels too casual and could easily be seen as outdated, without any bold or interesting features to elevate it. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_vest_3,"A tailored, buttoned beige waistcoat with a sophisticated, formal design. The structured fit and deep V-neck give it a sharp, elegant look, perfect for formal or semi-formal occasions. The vest is well-crafted with a clean finish and subtle stitching details, creating a refined appearance. Its versatile beige color complements a wide range of outfits, making it an excellent addition to a classic wardrobe.","A formal beige waistcoat that feels a bit too stiff and old-fashioned. The design, while neat, lacks flair or creativity, making it seem overly serious and rigid. Its neutral beige color doesn’t offer much in terms of vibrancy or personality, and the structure of the vest may come across as restrictive rather than comfortable or fashionable. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_sweater_1,"A stylish white cardigan with a deep V-neck, featuring sleek black piping along the edges for a chic, modern touch. The contrast between the white fabric and black accents adds a level of sophistication, making it an excellent layering piece for both casual and semi-formal outfits. The cardigan’s simple yet elegant design provides versatility, while the relaxed fit ensures comfort, creating a balanced mix of contemporary and classic style.","A plain white cardigan with basic black piping that feels overly simplistic and lacks any standout features. The design may come across as too conservative or uninspired, failing to bring any real excitement to an outfit. Its traditional look might feel too ordinary or outdated for those seeking more fashionable or bold options. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_sweater_2,"A vibrant, eye-catching red sweater with cable-knit detailing, offering a bold and cozy look. The slightly cropped design and puffed sleeves add a playful, fashionable touch to the traditional knitwear style. The sweater’s deep red color gives it a warm, festive feel, perfect for cooler seasons. Its soft texture and unique silhouette make it a standout piece that can add energy to any wardrobe.","A red cable-knit sweater with a bulky design that may feel somewhat heavy and impractical. The puffed sleeves could give it a dated appearance, and the cropped cut may not be flattering for all body types. The intense red color, while bold, might be too overpowering for everyday wear, limiting its versatility. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_sweater_3,"A soft and warm off-white turtleneck sweater with intricate ribbed knitting, providing a timeless and cozy look. The high neck and long sleeves make it ideal for colder weather, offering both comfort and style. The light, neutral color allows for easy pairing with various outfits, while the detailed knitting adds a touch of elegance to its simple design. It’s the perfect blend of classic and modern, versatile enough for casual or more formal layering.","A bland off-white turtleneck that lacks any distinctive features to set it apart from other knitwear. The ribbed knitting, while functional, feels too traditional and uninspired, giving it a somewhat old-fashioned vibe. The pale color may also appear dull or washed-out, failing to add any energy or contrast to an outfit. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_sweater_4,"A sleek and elegant black zip-up sweater with a minimalistic design. The stand-up collar with a half-zip closure adds a modern, sporty element to the otherwise classic silhouette. The rich black color gives it a polished and sophisticated feel, while the soft fabric ensures warmth and comfort. This sweater is perfect for a clean, understated look that can easily transition from casual to slightly more formal occasions.","A basic black zip-up sweater with a minimal design that might come off as too plain or boring. The half-zip feature feels too casual and doesn't add enough interest to elevate the sweater's overall look. Its simple, utilitarian style could seem too basic for someone seeking a more fashionable or standout piece. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_tank_top_1,"A stylish, form-fitting black sleeveless top that is versatile and perfect for casual or semi-formal occasions. Its sleek design enhances a confident, minimalist look.","A plain, generic black top with no unique features, blending into the background and lacking style or personality. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
tops_tunic_1,A striking knee-length royal blue blouse with a flowing design that adds elegance to any outfit. Ideal for making a bold statement in professional and social settings.,"An oversized, shapeless blue blouse that appears unflattering and too casual for formal events. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
bottoms_trousers_1,"Comfortable and stylish green wide-leg pants, offering a relaxed yet chic vibe. Great for pairing with fitted tops to create a balanced silhouette.","Bulky, wide-leg green pants that can make the wearer appear shorter or heavier, lacking refinement. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
bottoms_shorts_1,"Trendy light blue denim shorts with a flattering high waist, perfect for warm summer days and casual outings.","Simple denim shorts with little structure, appearing basic and lacking in any unique design. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
bottoms_shorts_2,"Tailored beige shorts with a structured fit, ideal for smart casual looks. The neutral color makes it easy to mix and match with various tops.","Dull beige shorts that blend in with the surroundings, giving off a bland, uninspired look. (worst quality, low quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitsch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D, 3D Game, 3D Game Scene, 3D Character:1.1), acne"
